frame,id,x1,y1,x2,y2,confidence,class_id
289,2,668.8163452148438,350.4158020019531,1625.0416259765625,670.2449951171875,1.0,4
290,2,667.8065185546875,349.70782470703125,1623.9766845703125,667.447509765625,1.0,4
291,2,658.9487915039062,341.46881103515625,1622.63720703125,667.3436279296875,1.0,4
292,2,655.8826904296875,343.6300354003906,1621.581787109375,666.2700805664062,1.0,4
-1,2,655.8826904296875,343.6300354003906,1621.581787109375,666.2700805664062,1.0,4
-1,2,655.8826904296875,343.6300354003906,1621.581787109375,666.2700805664062,1.0,4
-1,2,655.8826904296875,343.6300354003906,1621.581787109375,666.2700805664062,1.0,4
-1,2,655.8826904296875,343.6300354003906,1621.581787109375,666.2700805664062,1.0,4
-1,2,655.8826904296875,343.6300354003906,1621.581787109375,666.2700805664062,1.0,4
298,2,645.2590942382812,334.606201171875,1620.2908935546875,650.8971557617188,1.0,14
299,2,637.2945556640625,328.5125427246094,1622.4990234375,650.9234619140625,1.0,14
300,2,627.685546875,327.0896911621094,1618.71240234375,647.4636840820312,1.0,4
-1,2,627.685546875,327.0896911621094,1618.71240234375,647.4636840820312,1.0,4
302,2,611.372314453125,307.02996826171875,1620.5291748046875,647.1713256835938,1.0,14
303,2,612.0530395507812,319.4310607910156,1614.5965576171875,641.9097900390625,1.0,4
304,2,609.8485107421875,302.0848693847656,1615.617919921875,640.3958129882812,1.0,4
305,2,616.6045532226562,307.0785827636719,1613.302490234375,639.20654296875,1.0,4
306,2,614.455810546875,302.9729919433594,1614.7598876953125,637.8475952148438,1.0,4
307,2,598.2412109375,300.554443359375,1611.9251708984375,636.876953125,1.0,4
308,2,590.8003540039062,295.5986022949219,1612.1092529296875,634.8746337890625,1.0,4
309,2,587.11669921875,294.10919189453125,1609.76513671875,633.5927734375,1.0,4
310,2,589.230224609375,297.927001953125,1607.094482421875,627.8994140625,1.0,4
311,2,594.874267578125,300.6219177246094,1606.62060546875,624.7496948242188,1.0,4
312,2,585.2900390625,290.2504577636719,1603.001220703125,622.3557739257812,1.0,4
313,2,580.924072265625,279.6691589355469,1601.8465576171875,618.131103515625,1.0,4
314,2,593.5028686523438,286.8829650878906,1603.919677734375,618.1397094726562,1.0,4
315,2,581.3001708984375,287.9183349609375,1601.678955078125,615.2169799804688,1.0,4
316,2,587.682861328125,286.32421875,1600.822021484375,613.0497436523438,1.0,4
317,2,578.0185546875,278.3405456542969,1600.219482421875,610.7635498046875,1.0,4
318,2,561.7093505859375,273.19866943359375,1598.8890380859375,610.4606323242188,1.0,4
319,2,554.3558349609375,272.6136474609375,1599.64306640625,607.168212890625,1.0,4
320,2,545.0672607421875,267.24884033203125,1599.091552734375,607.7349243164062,1.0,14
-1,2,545.0672607421875,267.24884033203125,1599.091552734375,607.7349243164062,1.0,14
-1,2,545.0672607421875,267.24884033203125,1599.091552734375,607.7349243164062,1.0,14
-1,2,545.0672607421875,267.24884033203125,1599.091552734375,607.7349243164062,1.0,14
-1,2,545.0672607421875,267.24884033203125,1599.091552734375,607.7349243164062,1.0,14
325,2,498.92303466796875,245.59295654296875,1596.5885009765625,597.1749267578125,1.0,4
326,2,521.6017456054688,260.6687927246094,1596.8160400390625,595.452880859375,1.0,4
-1,2,521.6017456054688,260.6687927246094,1596.8160400390625,595.452880859375,1.0,4
328,2,517.1436767578125,252.20193481445312,1597.484619140625,592.7536010742188,1.0,4
-1,2,517.1436767578125,252.20193481445312,1597.484619140625,592.7536010742188,1.0,4
330,2,517.6671752929688,249.82215881347656,1595.7572021484375,588.8809204101562,1.0,14
331,2,514.9539184570312,248.65383911132812,1594.767822265625,586.5234985351562,1.0,14
-1,2,514.9539184570312,248.65383911132812,1594.767822265625,586.5234985351562,1.0,14
-1,2,514.9539184570312,248.65383911132812,1594.767822265625,586.5234985351562,1.0,14
334,2,502.87628173828125,239.4382781982422,1592.1580810546875,582.8633422851562,1.0,4
335,2,492.82672119140625,243.09425354003906,1590.4588623046875,581.7974853515625,1.0,4
336,2,489.1058349609375,241.27899169921875,1588.46240234375,578.5728149414062,1.0,4
337,2,470.433837890625,218.6326141357422,1587.1337890625,576.8815307617188,1.0,4
338,2,478.83795166015625,242.8694610595703,1584.3145751953125,573.3497314453125,1.0,4
339,2,475.223876953125,212.98370361328125,1585.6597900390625,575.2886352539062,1.0,4
340,2,455.572265625,219.62564086914062,1582.0341796875,571.4761962890625,1.0,4
341,2,455.983154296875,217.68544006347656,1583.0809326171875,569.1241455078125,1.0,4
342,2,457.67669677734375,224.9678192138672,1583.525390625,568.7561645507812,1.0,4
343,2,453.54034423828125,220.6885986328125,1580.9073486328125,567.48046875,1.0,4
344,2,465.4537353515625,212.03321838378906,1585.10595703125,567.374267578125,1.0,4
345,2,459.4308776855469,217.1015625,1578.4102783203125,566.1905517578125,1.0,14
346,2,449.571533203125,202.82130432128906,1577.672607421875,566.4883422851562,1.0,14
347,2,427.236328125,197.56544494628906,1579.3106689453125,567.8017578125,1.0,14
348,2,435.17816162109375,201.43116760253906,1577.2412109375,569.258544921875,1.0,4
349,2,424.19305419921875,210.47274780273438,1577.3543701171875,572.9328002929688,1.0,4
350,2,428.34210205078125,198.5064697265625,1577.118896484375,594.4361572265625,1.0,4
351,2,414.39990234375,205.2150421142578,1576.411865234375,587.0264282226562,1.0,4
352,2,413.86834716796875,208.6819610595703,1576.55859375,593.7415771484375,1.0,4
353,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
-1,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
-1,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
-1,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
-1,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
-1,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
-1,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
-1,2,416.62298583984375,215.98658752441406,1574.1339111328125,577.2489013671875,1.0,4
